Severity,Start_Lat,Start_Lng,Street,City,County,State,Zipcode,Timezone,Airport_Code,Temperature(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Wind_Speed(mph),Precipitation(in),Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Sunrise_Sunset,Civil_Twilight,Nautical_Twilight,Astronomical_Twilight,Clear,Cloud,Rain,Heavy_Rain,Snow,Heavy_Snow,Fog,Year,Month,Weekday,Hour
1,28.201694,-82.739868,Camry Dr,Holiday,Pasco,FL,34691,US/Eastern,KPIE,81.0,88.0,30.07,10.0,E,6.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,False,False,False,False,False,False,False,2022,6,3,8
4,35.539484,-90.490518,I-555,Marked Tree,Poinsett,AR,72365,US/Central,KJBR,85.0,27.0,29.62,10.0,N,10.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,False,False,False,False,False,False,False,2022,9,6,16
1,33.411559999999994,-111.969513,S 52nd St,Tempe,Maricopa,AZ,85281-6233,US/Mountain,KPHX,81.0,23.0,28.58,10.0,N,3.0,0.0,False,False,False,False,False,False,False,False,True,True,False,False,Night,Day,Day,Day,False,False,False,False,False,False,False,2022,5,2,4
3,30.534865999999997,-97.692123,I-35 S,Round Rock,Williamson,TX,78664,US/Central,KEDC,73.4,100.0,30.01,7.0,E,4.6,0.01,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,False,False,True,False,False,False,False,2016,8,1,19
4,44.948340654158834,-93.10270428613136,I-35E N,Saint Paul,Ramsey,MN,55102,US/Central,KSTP,24.0,84.0,29.28,10.0,W,9.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night,False,True,False,False,False,False,False,2022,1,5,0
2,29.968882,-90.054396, Saint Claude Ave,New Orleans,Orleans,LA,70117-8306,US/Central,KNEW,79.0,72.0,29.95,10.0,E,13.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,False,False,False,False,False,False,False,2021,10,5,18
3,42.895779,-83.633423,I-75 S,Grand Blanc,Genesee,MI,48439,US/Eastern,KFNT,34.0,82.0,29.0,10.0,SW,6.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night,False,False,False,False,False,False,False,2020,2,0,6
2,32.76651978477113,-97.31619715644209,Airport Fwy,Fort Worth,Tarrant,TX,76102,US/Central,KFTW,83.0,29.0,29.32,10.0,CALM,0.0,0.0,False,False,False,False,True,False,False,False,False,False,False,False,Day,Day,Day,Day,False,False,False,False,False,False,False,2021,10,2,12
4,41.84026,-71.85620300000002, Hartford Pike,Dayville,Windham,CT,06241-1757,US/Eastern,KIJD,77.0,42.0,29.75,10.0,S,10.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,False,False,False,False,False,False,False,2021,6,3,17
1,33.46569,-111.9956, E McDowell Rd,Phoenix,Maricopa,AZ,85008-4308,US/Mountain,KPHX,64.0,33.0,28.71,10.0,W,9.0,0.0,False,False,True,False,False,False,False,False,False,False,False,True,Day,Day,Day,Day,False,True,False,False,False,False,False,2020,3,3,13
2,28.049393,-82.454785,I-275 N,Tampa,Hillsborough,FL,33612,US/Eastern,KVDF,77.0,89.0,29.66,5.0,SE,16.0,0.0,False,False,False,False,True,False,False,False,False,False,False,False,Day,Day,Day,Day,False,False,True,False,False,False,False,2020,11,2,17
3,37.70015,-121.778816,I-580 E,Livermore,Alameda,CA,94551,US/Pacific,KLVK,63.0,70.0,29.64,10.0,W,8.0,0.0,False,False,False,False,True,False,False,False,False,False,False,False,Night,Night,Night,Night,False,False,False,False,False,False,False,2020,9,1,23
1,37.36311,-121.891327,US-101,San Jose,Santa Clara,CA,95112,US/Pacific,KSJC,57.0,72.0,29.89,9.0,CALM,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,False,False,False,False,False,False,False,2022,5,1,8
1,33.53836,-112.2031, N 67th Ave,Glendale,Maricopa,AZ,85301-1107,US/Mountain,KGEU,88.0,6.0,28.73,10.0,W,16.0,0.0,False,False,True,False,False,False,False,False,False,False,False,True,Day,Day,Day,Day,False,False,False,False,False,False,False,2020,6,0,15
1,36.118839,-86.71859,Currey Rd,Nashville,Davidson,TN,37211,US/Central,KBNA,66.0,90.0,29.39,5.0,CALM,0.0,0.0,False,False,True,False,False,False,False,False,False,False,False,True,Day,Day,Day,Day,False,True,False,False,False,False,False,2022,8,2,6
1,46.53427,-122.4854, Williams St,Mossyrock,Lewis,WA,98564-9004,US/Pacific,KTDO,61.0,48.0,30.02,10.0,NE,9.0,0.0,False,False,False,False,False,False,False,False,False,False,False,True,Day,Day,Day,Day,False,False,False,False,False,False,False,2020,4,1,16
2,37.790058,-120.86615,Lon Dale Rd,Oakdale,Stanislaus,CA,95361-7738,US/Pacific,KMOD,80.0,31.0,29.76,10.0,VAR,3.0,0.0,False,False,False,False,False,False,False,False,False,True,False,False,Day,Day,Day,Day,False,True,False,False,False,False,False,2019,7,6,13
4,41.522338,-73.092189,I-84 E,Middlebury,New Haven,CT,06762,US/Eastern,KOXC,24.0,55.0,29.36,10.0,W,6.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,False,False,False,False,False,False,False,2022,12,0,11
3,32.84383,-96.63455,I-635 N,Garland,Dallas,TX,75043,US/Central,KHQZ,86.0,62.0,29.45,10.0,SE,6.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,False,True,False,False,False,False,False,2020,6,5,18
3,25.990566,-80.165848,I-95 S,Hallandale,Broward,FL,33009,US/Eastern,KFLL,79.0,94.0,29.99,10.0,N,3.0,0.0,False,False,False,False,True,False,False,False,False,False,False,False,Day,Day,Day,Day,False,True,False,False,False,False,False,2020,8,3,7
2,30.224955,-97.703468,E Riverside Dr,Austin,Travis,TX,78741-6516,US/Central,KAUS,75.0,94.0,29.48,7.0,CALM,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,True,Day,Day,Day,Day,False,True,False,False,False,False,False,2019,9,1,7
4,40.351976,-111.77235,I-15 S,Lindon,Utah,UT,84042,US/Mountain,KPVU,23.0,85.0,25.48,1.0,S,7.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,False,False,False,False,True,False,False,2023,1,6,10
1,35.61549,-78.56716999999998,I-40 W,Garner,Johnston,NC,27529,US/Eastern,KRDU,66.0,93.0,29.66,10.0,SW,7.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night,False,True,False,False,False,False,False,2020,6,5,1
4,34.701491,-113.610402, S Highway 93,Lake Havasu City,Mohave,AZ,86406,US/Pacific,KEED,104.0,21.0,28.69,10.0,SW,7.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,False,False,False,False,False,False,False,2022,7,5,16
1,34.76722,-120.512177,CA-1,Lompoc,Santa Barbara,CA,93437,US/Pacific,KXVW,52.0,100.0,29.42,0.88,CALM,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night,False,False,False,False,False,False,True,2022,8,1,3
2,42.490551,-83.11636,Chrysler Expy S,Royal Oak,Oakland,MI,48067,US/Eastern,KVLL,41.0,58.0,29.09,10.0,W,6.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night,False,False,False,False,False,False,False,2023,2,0,19
2,33.057303999999995,-96.694122,E Spring Creek Pkwy,Plano,Collin,TX,75074,US/Central,KADS,82.0,70.0,29.35,13.0,E,5.0,0.0,False,False,False,False,False,False,False,False,False,False,False,True,Night,Day,Day,Day,False,False,False,False,False,False,False,2021,8,3,6
2,38.729334,-120.960448, Deer Valley Rd,Rescue,El Dorado,CA,95672-9657,US/Pacific,KPVF,88.0,17.0,27.37,10.0,W,5.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,False,False,False,False,False,False,False,2021,7,5,11
1,36.060759999999995,-95.973503,E 71st St,Tulsa,Tulsa,OK,74136-5035,US/Central,KRVS,87.0,57.0,29.11,10.0,VAR,5.0,0.0,False,False,True,False,False,False,False,False,False,True,False,False,Day,Day,Day,Day,False,False,False,False,False,False,False,2022,6,4,17
1,30.443846,-97.742393,McNeil Dr,Austin,Travis,TX,78729,US/Central,KATT,78.0,84.0,29.37,7.0,S,5.0,0.0,False,False,True,False,False,False,False,False,False,False,False,True,Day,Day,Day,Day,False,True,False,False,False,False,False,2022,6,3,7
3,33.710125,-84.209755,GA-402 E,Decatur,DeKalb,GA,30034,US/Eastern,KATL,56.0,80.0,29.18,10.0,S,3.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,False,False,False,False,False,False,False,2021,11,2,8
2,27.965798,-82.452956,I-275 N,Tampa,Hillsborough,FL,33602,US/Eastern,KTPF,72.0,41.0,30.03,10.0,E,9.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,False,False,False,False,False,False,False,2021,3,4,10
3,41.054092,-77.438034,I-80 W,Mill Hall,Clinton,PA,17751,US/Eastern,KUNV,63.0,45.0,28.88,10.0,W,6.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Day,Day,False,True,False,False,False,False,False,2021,5,0,21
1,32.27196,-110.97806, N Oracle Rd,Tucson,Pima,AZ,85705-3223,US/Mountain,KDMA,85.0,9.0,27.11,10.0,S,14.0,0.0,False,False,True,False,False,False,False,False,False,False,False,True,Day,Day,Day,Day,False,False,False,False,False,False,False,2020,5,1,10
2,32.694496,-96.630096,I-20 E,Balch Springs,Dallas,TX,75180,US/Central,KHQZ,64.0,37.0,29.64,10.0,N,7.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,False,False,False,False,False,False,False,2019,10,2,17
3,33.385784,-117.583496,I-5 N,San Clemente,San Diego,CA,92672,US/Pacific,KNXF,68.0,73.0,29.88,9.0,SE,3.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,False,True,False,False,False,False,False,2020,9,5,9
1,28.476259,-81.396683,Wakulla Way,Orlando,Orange,FL,32839,US/Eastern,KORL,91.0,57.0,29.94,10.0,W,8.0,0.0,False,False,True,False,False,False,False,False,False,False,False,True,Day,Day,Day,Day,False,True,False,False,False,False,False,2022,7,2,12
3,32.326283000000004,-90.161095,I-55 S,Jackson,Hinds,MS,39216,US/Central,KHKS,79.0,79.0,29.6,10.0,E,6.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,False,True,False,False,False,False,False,2020,8,1,17
2,35.18155,-80.851701, Hillside Springs Dr,Charlotte,Mecklenburg,NC,28209,US/Eastern,KCLT,75.0,22.0,29.29,10.0,N,13.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,False,False,False,False,False,False,False,2022,4,2,17
4,37.59211,-79.38008, Elon Rd,Monroe,Amherst,VA,24574,US/Eastern,KLYH,42.1,51.0,30.2,10.0,W,3.5,0.0,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,False,False,True,False,False,False,False,2018,1,0,13
4,40.69898,-73.95703, Bedford Ave,Brooklyn,Kings,NY,11205-1508,US/Eastern,KJRB,42.8,87.0,30.41,5.0,NE,16.1,9.99,False,False,True,False,False,False,False,False,False,False,False,True,Day,Day,Day,Day,False,True,False,False,False,False,False,2017,4,3,8
1,33.801029,-79.07729300000003,Highway 701 S,Conway,Horry,SC,29527-6049,US/Eastern,KHYW,72.0,100.0,29.97,10.0,SW,3.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,False,False,False,False,False,False,False,2022,8,0,7
3,41.871067,-87.773804,Chicago-Kansas City Expressway W,Chicago,Cook,IL,60644,US/Central,KMDW,71.0,49.0,29.17,10.0,S,13.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,False,True,False,False,False,False,False,2021,4,2,9
1,38.767433,-90.203232,I-270 W,Saint Louis,St. Louis County,MO,63138,US/Central,KSTL,69.0,90.0,29.32,4.0,N,7.0,0.1,False,False,False,False,False,False,False,False,False,False,False,False,Night,Day,Day,Day,False,False,True,True,False,False,False,2022,6,2,5
4,36.670084,-80.275104, Jeb Stuart Hwy,Stuart,Patrick,VA,24171-1663,US/Eastern,KMTV,52.0,91.0,29.12,10.0,S,3.0,0.01,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,False,False,True,False,False,False,False,2023,1,1,13
1,32.25069000000001,-110.8409,N Sabino Canyon Rd,Tucson,Pima,AZ,85715,US/Mountain,KDMA,98.0,16.0,27.11,7.0,S,25.0,0.0,False,False,True,False,False,False,False,False,False,False,False,True,Day,Day,Day,Day,False,True,False,False,False,False,False,2020,5,4,16
1,39.04706,-77.19672, Broad Green Dr,Potomac,Montgomery,MD,20854-2097,US/Eastern,KGAI,68.0,26.0,29.66,10.0,W,6.0,0.0,False,False,True,False,False,True,False,False,False,False,False,False,Day,Day,Day,Day,False,False,False,False,False,False,False,2020,5,2,18
3,40.020508,-79.08266400000002,I-70 E,Somerset,Somerset,PA,15501,US/Eastern,KLBE,39.0,81.0,28.89,15.0,VAR,7.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,False,True,False,False,False,False,False,2019,12,1,11
2,42.888141,-85.486262,I-96 E,Grand Rapids,Kent,MI,49512,US/Eastern,KGRR,79.0,66.0,28.99,10.0,S,10.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,False,True,False,False,False,False,False,2022,8,6,12
2,45.074835,-93.305553,Parkway Cir,Minneapolis,Hennepin,MN,55430,US/Central,KMIC,41.0,70.0,29.08,10.0,N,8.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,False,False,False,False,False,False,False,2021,5,6,7
4,35.307213,-82.376816, King Rd,Flat Rock,Henderson,NC,28731-5663,US/Eastern,KAVL,71.0,20.0,27.87,10.0,NW,15.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,False,False,False,False,False,False,False,2022,3,3,11
1,35.220531,-89.927193,Yale Rd,Memphis,Shelby,TN,38128-3371,US/Central,KNQA,79.0,89.0,29.69,10.0,S,6.0,0.0,False,False,True,False,False,False,False,False,False,False,False,True,Day,Day,Day,Day,False,False,False,False,False,False,False,2022,7,1,6
4,29.564670324184583,-98.65524172735856,TX-1604-LOOP,San Antonio,Bexar,TX,78249,US/Central,KSAT,60.0,25.0,29.53,10.0,S,7.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,False,False,False,False,False,False,False,2022,1,5,11
3,41.228660999999995,-112.012253,W 2100 S,Ogden,Weber,UT,84401,US/Mountain,KOGD,42.0,92.0,25.14,9.0,W,12.0,0.01,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,False,False,True,False,False,False,False,2019,5,1,11
1,39.755459,-84.194313,S Wilkinson St,Dayton,Montgomery,OH,45402-2316,US/Eastern,KFFO,71.0,34.0,29.14,10.0,W,12.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,False,False,False,False,False,False,False,2022,5,0,16
1,32.031597,-80.972565,Quarterman Dr,Savannah,Chatham,GA,31410,US/Eastern,KSVN,84.0,70.0,30.0,10.0,E,10.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,False,True,False,False,False,False,False,2022,9,4,18
1,29.11364600000001,-82.09560400000002,S Pine Ave,Ocala,Marion,FL,34480-8071,US/Eastern,KOCF,62.0,96.0,30.03,10.0,CALM,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night,False,False,False,False,False,False,False,2022,4,0,4
3,41.83704,-87.675911,Adlai E Stevenson Expy N,Chicago,Cook,IL,60608,US/Central,KMDW,57.0,44.0,29.24,10.0,S,10.0,0.0,False,False,True,False,False,False,False,False,False,False,False,True,Day,Day,Day,Day,False,False,False,False,False,False,False,2020,12,3,15
4,33.74701,-84.38759,Memorial Dr SE,Atlanta,Fulton,GA,30312,US/Eastern,KATL,75.0,84.0,28.95,10.0,SW,6.0,0.0,False,False,True,False,False,False,False,False,False,False,False,True,Night,Night,Night,Night,False,True,False,False,False,False,False,2020,6,6,0
1,37.44426,-77.35141,Strath Rd,Henrico,Henrico,VA,23231-7310,US/Eastern,KRIC,63.0,93.0,29.82,10.0,N,3.0,0.0,False,False,False,False,False,False,False,False,False,False,False,True,Day,Day,Day,Day,False,True,False,False,False,False,False,2022,8,2,7
1,42.35075,-71.126549,Commonwealth Ave,Allston,Suffolk,MA,02134,US/Eastern,KBOS,79.0,79.0,29.83,10.0,S,12.0,0.0,False,False,True,False,False,False,False,False,False,False,False,False,Night,Night,Night,Day,False,True,False,False,False,False,False,2022,7,0,4
1,45.54453,-122.40048,I-84 E,Troutdale,Multnomah,OR,97060,US/Pacific,KTTD,50.0,80.0,30.24,10.0,E,5.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,False,True,False,False,False,False,False,2020,4,1,6
4,43.732482,-121.469062, Highway 97,La Pine,Deschutes,OR,97739-9711,US/Pacific,KBDN,66.0,37.0,26.57,10.0,VAR,5.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,False,False,False,False,False,False,False,2022,9,3,12
4,40.31648,-87.32027,N US Highway 41,Williamsport,Warren,IN,47993,US/Central,KDNV,55.0,80.0,29.22,10.0,CALM,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night,False,False,False,False,False,False,False,2019,9,3,21
3,33.928631,-84.17662,Indian Trail Lilburn Rd,Norcross,Gwinnett,GA,30071,US/Eastern,KPDK,66.0,87.0,28.76,10.0,W,8.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,False,True,False,False,False,False,False,2019,10,2,10
4,37.76425,-122.21726,I-880 N,Oakland,Alameda,CA,94601,US/Pacific,KOAK,66.0,54.0,29.96,10.0,W,18.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,False,False,False,False,False,False,False,2020,5,6,14
3,33.745304,-84.349014,GA-402 E,Atlanta,DeKalb,GA,30316,US/Eastern,KATL,68.0,93.0,28.77,4.0,W,7.0,0.1,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Day,False,False,True,False,False,False,False,2021,5,4,21
1,34.979351,-81.896782,Apartment Cir,Spartanburg,Spartanburg,SC,29307-1001,US/Eastern,KSPA,73.0,88.0,29.24,10.0,W,6.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,False,True,False,False,False,False,False,2022,8,3,10
4,46.10645,-122.87736,WA-432 E,Kelso,Cowlitz,WA,98626,US/Pacific,KKLS,66.0,63.0,29.81,10.0,S,12.0,0.0,False,False,False,False,True,False,False,False,False,False,False,False,Day,Day,Day,Day,False,True,False,False,False,False,False,2019,9,0,12
2,28.589603000000004,-81.770042,Lake Minneola Shrs,Minneola,Lake,FL,34715-9421,US/Eastern,KLEE,78.1,93.0,30.1,10.0,E,12.7,0.0,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,False,True,False,False,False,False,False,2018,7,1,18
1,42.20936,-71.04887,I-93 S,Quincy,Norfolk,MA,02169,US/Eastern,KMQE,35.0,72.0,30.05,10.0,CALM,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night,False,False,False,False,False,False,False,2020,3,5,0
1,35.22689099999999,-80.856728,S Cedar St,Charlotte,Mecklenburg,NC,28208-5302,US/Eastern,KCLT,85.0,61.0,29.33,10.0,N,6.0,0.0,False,False,True,False,False,False,False,False,False,False,False,True,Day,Day,Day,Day,False,False,False,False,False,False,False,2022,7,4,10
2,34.990639,-82.244011,Jug Factory Rd,Greer,Greenville,SC,29651-5248,US/Eastern,KGSP,91.0,47.0,29.04,10.0,VAR,5.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,False,False,False,False,False,False,False,2019,8,0,15
3,41.815113,-71.370491,Freeborn Ave,East Providence,Providence,RI,02914,US/Eastern,KPVD,76.0,33.0,30.21,10.0,S,12.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,False,False,False,False,False,False,False,2021,5,2,16
4,39.192079,-76.77176,I-95 N,Elkridge,Howard,MD,21075,US/Eastern,KBWI,74.0,40.0,30.1,10.0,SE,6.0,0.0,False,False,False,False,True,False,False,False,False,False,False,False,Day,Day,Day,Day,False,False,False,False,False,False,False,2020,11,5,15
3,41.593208,-93.659431,31st St,Des Moines,Polk,IA,50312,US/Central,KDSM,78.0,48.0,28.98,10.0,E,8.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,False,False,False,False,False,False,False,2019,8,3,16
4,39.252344,-78.10388499999998,I-81 N,Clear Brook,Frederick,VA,22624,US/Eastern,KOKV,46.0,43.0,29.35,10.0,NW,6.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,False,False,False,False,False,False,False,2022,3,1,13
2,41.309723,-74.124107,I-87 N,Central Valley,Orange,NY,10917,US/Eastern,KSWF,46.0,81.0,29.42,10.0,W,12.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,False,True,False,False,False,False,False,2020,11,5,13
3,33.912693,-118.180199,I-710 S,Paramount,Los Angeles,CA,90723,US/Pacific,KLGB,66.0,81.0,29.84,10.0,CALM,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night,False,False,False,False,False,False,False,2022,7,3,4
3,39.710747,-105.296806,I-70 W,Golden,Jefferson,CO,80401,US/Mountain,KBJC,45.0,76.0,24.41,10.0,S,6.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,False,False,True,False,False,False,False,2021,5,6,19
3,41.047195,-73.803398,Cross Westchester Expy W,White Plains,Westchester,NY,10603,US/Eastern,KHPN,46.0,46.0,29.78,10.0,S,3.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,False,False,False,False,False,False,False,2021,11,3,17
3,41.925940999999995,-87.68441800000002,I-90 E,Chicago,Cook,IL,60647,US/Central,KMDW,32.0,82.0,29.25,4.0,E,25.0,0.03,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,False,False,False,False,False,False,False,2021,1,4,11
2,40.687254,-73.61813199999997,Southern State Pkwy E,Hempstead,Nassau,NY,11550,US/Eastern,KJFK,55.0,62.0,29.63,10.0,SW,8.0,0.0,False,False,False,False,True,False,False,False,False,False,False,False,Day,Day,Day,Day,False,True,False,False,False,False,False,2023,2,0,14
4,38.29284000000001,-121.459496,I-5 N,Elk Grove,Sacramento,CA,95757,US/Pacific,KSAC,94.0,24.0,29.72,10.0,VAR,7.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,False,False,False,False,False,False,False,2019,9,2,13
3,37.415424,-88.871216,I-24 E,Vienna,Johnson,IL,62995,US/Central,KM30,29.0,97.0,29.94,10.0,CALM,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,False,False,False,False,False,False,False,2021,11,4,8
4,35.145961,-90.12395,I-55,West Memphis,Crittenden,AR,72301,US/Central,KAWM,70.0,84.0,29.89,10.0,NE,6.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night,False,False,False,False,False,False,False,2020,9,1,0
2,44.67742,-117.644561,I-84 E,Baker City,Baker,OR,97814,US/Pacific,KBKE,36.0,86.0,26.53,10.0,S,3.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night,False,True,False,False,False,False,False,2020,11,6,3
4,39.72374,-105.18149,I-70 E,Golden,Jefferson,CO,80401,US/Mountain,KBJC,55.0,36.0,24.52,30.0,E,7.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Day,False,False,False,False,False,False,False,2019,4,3,20
